x, y, u, v: 247, 103, 3.90155, -0.274592
x, y, u, v: 263, 103, 4.00616, 0.191423
x, y, u, v: 279, 103, 3.86393, 0.646414
x, y, u, v: 295, 103, 3.58557, 1.07159
x, y, u, v: 311, 103, -5.92907, -6.95551
x, y, u, v: 327, 103, 3.27504, 1.54865
x, y, u, v: 343, 103, 2.87026, 1.75911
x, y, u, v: 359, 103, 2.67542, 1.75609
x, y, u, v: 375, 103, 2.35384, 1.87963
x, y, u, v: 391, 103, 2.14572, 1.94182
x, y, u, v: 407, 103, 1.97455, 1.96776
x, y, u, v: 423, 103, 1.74833, 1.94451
x, y, u, v: 439, 103, 1.692, 1.92413
x, y, u, v: 455, 103, 1.57204, 1.93753
x, y, u, v: 471, 103, 1.37921, 1.83464
x, y, u, v: 487, 103, 1.17699, 1.80901
x, y, u, v: 503, 103, 0.725935, 1.7948
x, y, u, v: 7, 119, 1.05104, -1.86942
x, y, u, v: 23, 119, 1.08817, -1.90111
x, y, u, v: 39, 119, 1.18581, -1.99467
x, y, u, v: 55, 119, 1.32253, -2.08998
x, y, u, v: 71, 119, 1.60856, -2.08793
x, y, u, v: 87, 119, 1.6983, -2.20051
x, y, u, v: 103, 119, 1.93317, -2.19469
x, y, u, v: 119, 119, 0, 0
x, y, u, v: 135, 119, 2.44952, -1.7157
x, y, u, v: 151, 119, 2.60826, -2.09645
x, y, u, v: 167, 119, 3.0852, -2.11172
x, y, u, v: 183, 119, 3.39454, -1.87664
x, y, u, v: 199, 119, 3.57834, -1.57296
x, y, u, v: 215, 119, 4.03501, -1.29318
x, y, u, v: 231, 119, 4.07807, -0.793264
x, y, u, v: 247, 119, 4.32497, -0.35914
x, y, u, v: 263, 119, 4.20615, 0.244041
x, y, u, v: 279, 119, 4.14203, 0.778676
x, y, u, v: 295, 119, 3.86927, 1.17308
x, y, u, v: 311, 119, 3.75612, 1.50836
x, y, u, v: 327, 119, 3.52962, 1.74138
x, y, u, v: 343, 119, 3.13317, 1.93778
x, y, u, v: 359, 119, 2.72675, 2.12354
x, y, u, v: 375, 119, 2.62731, 2.15195
x, y, u, v: 391, 119, 2.20384, 2.23404
x, y, u, v: 407, 119, 2.00527, 2.28559
