x, y, u, v: 31, 495, -1.39256, -1.25565
x, y, u, v: 31, 503, -1.38657, -1.30156
x, y, u, v: 39, 7, 1.46407, -1.29128
x, y, u, v: 39, 15, 1.37093, -1.25203
x, y, u, v: 39, 23, 1.37796, -1.30175
x, y, u, v: 39, 31, 1.36783, -1.30035
x, y, u, v: 39, 39, 1.36521, -1.46167
x, y, u, v: 39, 47, 1.299, -1.38599
x, y, u, v: 39, 55, 1.24634, -1.45142
x, y, u, v: 39, 63, 1.47613, -1.50062
x, y, u, v: 39, 71, 1.51406, -1.67485
x, y, u, v: 39, 79, 1.38134, -1.7129
x, y, u, v: 39, 87, 1.27079, -1.76069
x, y, u, v: 39, 95, 1.3337, -1.79431
x, y, u, v: 39, 103, -6.5997, -6.48501
x, y, u, v: 39, 111, 1.20336, -1.91064
x, y, u, v: 39, 119, 1.18581, -1.99467
x, y, u, v: 39, 127, 1.17222, -2.01828
x, y, u, v: 39, 135, 1.11584, -2.15801
x, y, u, v: 39, 143, 1.17172, -2.22879
x, y, u, v: 39, 151, 1.14624, -2.26891
x, y, u, v: 39, 159, 1.14048, -2.35487
x, y, u, v: 39, 167, 6.90689e-310, 6.90689e-310
x, y, u, v: 39, 175, 0.79605, -2.4702
x, y, u, v: 39, 183, 0.814546, -2.47268
x, y, u, v: 39, 191, 0.758939, -2.54705
x, y, u, v: 39, 199, 0.70911, -2.56204
x, y, u, v: 39, 207, 0.526116, -2.67791
x, y, u, v: 39, 215, 0.461843, -2.75354
x, y, u, v: 39, 223, 0.288635, -2.83929
x, y, u, v: 39, 231, 0.247489, -2.74736
x, y, u, v: 39, 239, 0.179031, -2.80554
x, y, u, v: 39, 247, 0.0987516, -2.80305
x, y, u, v: 39, 255, -0.0383268, -2.76525
x, y, u, v: 39, 263, -0.113484, -2.74505
x, y, u, v: 39, 271, -0.256089, -2.82145
x, y, u, v: 39, 279, -0.286217, -2.7692
x, y, u, v: 39, 287, -0.31722, -2.87545
x, y, u, v: 39, 295, -0.510171, -2.70442
